il_adı,plaka_kodu,yuzolcumu_km2,enlem,boylam,ortalama_kira_2024,ortalama_kira_2023,ortalama_kira_2022,nufus_2024,nufus_ 2023,nufus_2022,issizlik_oranı_2024,issizlik_oranı_2023,issizlik_oranı_2022,hava_kalitesi_pm25_2024,arac_sayısı_2024,arac_sayısı_2023,arac_sayısı_2022,nufus_yogunlugu,arac_yogunlugu,kira_artis_orani,kisi_basi_arac,il_grubu
Eskişehir,26,13960,39.7767,30.5206,22541,15326,7265,921630,915418,906617,7.8,8.0,8.7,12.4,343111,330244,318787,66.01934097421203,24.578151862464182,0.4707686284744878,0.3722871434306609,1
Gaziantep,27,16803,37.0662,37.3833,21316,13230,7791,2193363,2164134,2154051,10.4,9.6,8.5,12.1,671290,632855,598737,130.53401178361008,39.95060405879902,0.6111866969009826,0.3060551308652512,0
Giresun,28,7025,40.9128,38.3895,19832,12931,5749,455922,461712,450862,5.8,8.5,9.9,12.5,108781,104890,101603,64.89992882562278,15.484839857651245,0.533678756476684,0.238595636972991,1
Gümüşhane,29,6575,40.4608,39.4814,17995,11227,5070,142617,148539,144544,10.9,14.1,10.6,13.2,28415,27374,26668,21.69079847908745,4.321673003802282,0.6028324574686025,0.1992399223094021,0
Hakkari,30,7095,37.5744,43.7408,13730,8818,4106,282191,287625,275333,18.3,23.3,27.8,9.4,9685,9009,8802,39.77322057787174,1.365045806906272,0.557042413245634,0.034320726033076884,0
Hatay,31,5867,36.2023,36.1606,20208,14201,5712,1562185,1544640,1686043,12.0,15.6,14.4,12.5,612927,576096,554537,266.2664053178797,104.47025737174025,0.4229983803957468,0.39235237823945307,0
Isparta,32,8946,37.7648,30.5566,23479,16515,8086,446409,449777,445325,6.8,7.4,8.7,13.2,213292,204358,196722,49.90040241448692,23.842164095685224,0.4216772630941568,0.4777950265339633,1
Mersin,33,16010,36.8121,34.6415,20077,17993,8844,1954279,1938389,1916432,6.6,7.1,8.6,10.9,776160,740012,707703,122.06614615865084,48.47970018738289,0.11582281998554994,0.39715925924599305,1
İstanbul,34,5461,41.0082,28.9784,40495,29008,15438,15701602,15655924,15907951,8.8,8.9,10.2,13.3,5486007,5207294,4940010,2875.224684123787,1004.5791979490936,0.3959942084942085,0.3493915461619776,3
İzmir,35,11891,38.4237,27.1428,34524,24554,12207,4493242,4479525,4462056,11.0,11.4,13.0,10.7,1822733,1734265,1650646,377.8691447313094,153.28677150786308,0.4060438217805653,0.4056609904385297,0
Kars ,36,10193,40.6013,43.0975,15496,9426,4231,272300,278335,274829,7.0,7.7,8.4,4.9,48755,47077,46212,26.71441185127048,4.783184538408712,0.6439635051983874,0.17904884318766068,1
Kastamonu,37,13064,41.3887,33.7827,22403,15350,6446,381991,388990,378115,4.0,4.9,5.3,12.3,153373,148165,143163,29.239972443355786,11.740125535823637,0.45947882736156354,0.40150945964695506,1
Kayseri,38,16970,38.7205,35.4826,14270,9963,5402,1452458,1445683,1441523,9.0,9.5,9.0,15.7,454768,438185,423456,85.58974661166765,26.79835002946376,0.43229950818026697,0.3131023409971235,0
Kırklareli,39,6459,41.7333,27.2167,22495,16577,6429,379031,377156,369347,5.8,8.7,8.8,24.0,154597,148485,143523,58.68261340764824,23.93512927697786,0.35700066357000665,0.4078742899657284,2
Kırşehir,40,6570,39.1425,34.1709,16225,9709,5167,244546,247179,244519,9.2,10.7,12.2,10.7,79031,76208,143523,37.221613394216135,12.029071537290715,0.6711298794932536,0.32317437210177224,1
Kocaeli,41,3397,40.8533,29.8815,25025,17647,8373,2130006,2102907,2079072,8.7,9.1,10.5,25.5,527710,496496,469732,627.025610833088,155.34589343538417,0.4180880602935343,0.24775047582025592,2
Konya,42,38873,37.8714,32.4846,19122,13269,6409,2330024,2320241,2277017,7.7,6.0,7.3,19.3,868567,834547,804798,59.93939238031538,22.343709001106166,0.4411033235360615,0.3727716967722221,2
Kütahya,43,11634,39.4167,29.9833,18465,12105,5561,571078,575674,580701,6.7,7.3,7.3,8.7,246138,236158,227377,49.086986419116386,21.156781846312533,0.5254027261462205,0.43100592213322875,1
Malatya,44,12259,38.3552,38.3095,16010,12221,5371,750491,742725,812580,5.6,6.4,7.2,12.0,218980,208416,201169,61.21959376784403,17.86279468145852,0.31004009491858275,0.2917823131789722,1
Manisa,45,13339,38.6191,27.4289,23337,14772,7235,1475353,1475716,1468279,6.3,6.3,6.3,6.8,731816,696865,662380,110.60446810105705,54.86288327460829,0.579813160032494,0.4960277303126777,1
Kahramanmaraş,46,14520,37.5858,36.9371,17305,12586,5513,1134105,1116618,1177436,11.8,14.6,15.0,10.5,300634,283331,270909,78.10640495867769,20.70482093663912,0.37494040997934214,0.26508480255355543,0
Mardin,47,8780,37.3129,40.735,14411,10085,5073,895911,888874,870374,11.7,10.5,17.8,11.0,93744,87660,83307,102.03997722095671,10.676993166287016,0.4289538919186911,0.10463539347100326,0
Muğla,48,12654,37.2153,28.3636,60237,40459,21817,1081867,1066736,1048185,7.7,6.1,8.3,7.6,662203,626526,591730,85.49604868025921,52.33151572625257,0.488840554635557,0.6120927988375651,1
Muş,49,8196,38.9462,41.7539,12767,8558,4434,392301,399879,399202,13.1,12.1,12.7,5.5,37592,35794,34795,47.86493411420205,4.586627623230845,0.49182051881280675,0.09582437974922317,0
Nevşehir,50,5485,38.6244,34.7144,21561,14124,6788,317952,315994,310011,6.5,5.5,6.6,12.9,148931,142282,136642,57.96754785779398,27.152415679124886,0.5265505522514868,0.46840718095813205,1
Niğde,51,7234,37.9667,34.6833,18488,11262,5356,372708,377080,365419,7.9,9.3,10.3,18.4,129105,123192,118854,51.52170306884158,17.84697262925076,0.6416267092878707,0.34639717956147975,1
Ordu,52,5861,40.9839,37.8764,23205,15306,6922,770711,775800,763190,7.2,7.7,7.1,21.9,175570,166791,159056,131.49820849684355,29.955638969459137,0.5160721285770287,0.22780263938103906,2
Rize,53,3835,41.0201,40.5234,23350,16256,7078,346977,350506,344016,8.3,8.7,9.0,6.9,93341,90241,87859,90.47640156453716,24.33924380704042,0.43639271653543305,0.26901206708225617,1
Sakarya,54,4824,40.7569,30.3783,23903,16318,7710,1110735,1098115,1080080,8.4,8.3,9.4,12.4,361782,343459,327954,230.25186567164178,74.99626865671642,0.4648241206030151,0.32571405420734917,1
Samsun,55,9725,41.2867,36.33,21737,15880,7768,1382376,1377546,1368488,7.2,9.4,8.3,19.7,460655,437891,418183,142.1466323907455,47.368123393316196,0.3688287153652393,0.3332342286035058,2
Siirt,56,5403,37.9333,41.9333,13234,8037,4005,336453,347412,331311,10.8,8.0,18.4,9.8,25055,22774,21581,62.27151582454192,4.637238571164168,0.6466343162871718,0.07446805348741131,0
Sinop ,57,5717,42.0231,35.1531,17976,7747,3344,226957,229716,220719,5.9,4.8,6.3,11.0,72001,68652,65716,39.69861815637572,12.59419275843974,1.3203820833871176,0.31724511691642027,1
Sivas,58,28174,39.7477,37.0179,12109,5772,3255,637007,650401,634924,8.9,10.3,10.7,14.8,188843,181250,175546,22.60974657485625,6.702740114999645,1.0978863478863479,0.2964535711538492,1
Tekirdağ ,59,6313,40.9833,27.5167,14348,7011,2425,1187162,1167059,1142451,6.7,7.3,7.9,8.4,328106,313551,300844,188.05037224774276,51.97307143988595,1.0464983597204394,0.276378455509863,1
Tokat,60,10042,40.3167,36.55,12229,6306,2683,612674,606934,596454,6.4,6.9,6.6,13.8,220248,211153,201898,61.011153156741685,21.9326827325234,0.9392641928322233,0.3594864479315264,1
Trabzon,61,4628,41.0027,39.7168,15125,7207,2906,822270,824352,818023,8.7,7.7,10.4,28.6,252760,242761,230979,177.67286084701814,54.61538461538461,1.0986540863049812,0.30739294878811096,2
Tunceli,62,7582,39.1079,39.5401,14227,8075,4060,86612,89317,84366,4.7,7.0,9.1,11.5,11320,10603,10251,11.423371142178844,1.4930097599577947,0.7618575851393189,0.13069782478178543,1
Şanlıurfa,63,19242,37.1591,38.7969,10695,10697,2428,2237745,2213964,2170210,8.0,9.9,9.7,20.3,301528,285134,272431,116.29482382288744,15.670304542147386,-0.00018696830887164625,0.13474636296807724,2
Uşak,64,5555,38.6823,29.4082,12646,6041,2718,375310,377001,375454,7.6,8.6,8.3,8.6,163053,156841,151266,67.56255625562557,29.35247524752475,1.0933620261546102,0.43444885561269353,1
Van ,65,20921,38.4891,43.3778,13059,13058,2620,1118087,1117612,128749,16.7,19.1,7.2,11.5,82901,78899,76933,53.44328664977773,3.9625734907509202,7.658140603461479e-05,0.07414539297925832,0
Yozgat,66,14123,39.8181,34.8147,17441,11789,5529,413161,420699,418442,7.7,6.7,8.5,12.4,121297,117098,113997,29.254478510231536,8.588614317071444,0.47942997709729407,0.293582888994847,1
Zonguldak,67,3342,41.4511,31.7944,25091,17071,7144,586802,591492,588510,9.9,11.0,12.2,19.0,179424,172249,166743,175.5840813883902,53.68761220825853,0.4698025891863394,0.3057658290189877,0
Aksaray,68,7659,38.3687,34.0297,19481,6522,6517,439474,438504,433055,7.0,7.3,6.7,13.4,155034,147878,141669,57.38007572790181,20.24206815511163,1.9869671879791475,0.3527717225592413,1
Bayburt,69,3746,40.2552,40.2249,17662,10554,4974,83676,86047,84241,7.5,6.7,9.7,6.6,17539,16891,16425,22.33742658836092,4.682060864922584,0.6734887246541595,0.20960609971795974,1
Karaman,70,8678,37.1759,33.2153,18441,12564,5988,262791,263960,260838,7.5,6.9,7.8,15.2,104781,101499,98581,30.282438349850196,12.074325881539526,0.4677650429799427,0.3987237005833533,1
Kırıkkale,71,4791,39.8468,33.5153,24396,18142,6427,283053,285744,277046,11.2,11.8,13.3,14.4,75936,73200,98581,59.08015028177834,15.849718221665624,0.34472494763532135,0.26827484605356594,0
Batman,72,4477,37.8812,41.1351,15628,10830,5843,654528,647205,634491,12.7,12.9,17.2,11.3,56450,52246,49728,146.19790037971856,12.608889881617154,0.4430286241920591,0.08624535543170041,0
Şırnak,73,7078,37.5164,42.4611,14262,8988,3968,570826,570745,557605,7.9,13.1,21.5,11.3,33635,31157,30190,80.64792314213055,4.752048601299802,0.5867823765020027,0.058923384709175824,1
Bartın,74,2330,41.6344,32.3375,26778,17884,8542,206715,207328,203351,6.9,8.1,9.3,14.1,60220,57683,55659,88.71888412017168,25.84549356223176,0.497316036680832,0.29131896572575766,1
Ardahan,75,4842,41.1105,42.7022,17173,10001,4524,91354,92819,92481,5.2,5.8,5.4,4.2,19879,19204,18910,18.866997108632795,4.105534902932672,0.7171282871712829,0.2176040457998555,1
Iğdır,76,3664,39.9167,44.0333,17347,10715,5548,206857,209738,203594,11.3,14.0,16.3,15.0,32240,30427,29430,56.45660480349345,8.799126637554584,0.6189454036397574,0.15585646122683786,0
Yalova,77,847,40.6551,29.2769,22409,16289,8892,307882,304780,296333,8.7,10.7,10.5,18.3,83811,79268,75275,363.4970484061393,98.9504132231405,0.37571367180305726,0.2722179276476053,2
Karabük,78,4142,41.2061,32.6204,18629,13136,5455,250478,255242,252058,9.9,11.8,11.2,25.2,74698,71927,69711,60.47271849348141,18.034282955094156,0.4181638246041413,0.29822179991855574,2
Kilis,79,1412,36.7184,37.1212,14370,9081,4943,156739,155179,147919,12.5,10.7,8.9,12.5,61173,56478,53043,111.00495750708215,43.32365439093484,0.582424843078956,0.3902857616802455,0
Osmaniye,80,3320,37.0742,36.2472,15102,10590,5112,561061,577666,559404,11.0,16.7,14.2,12.1,211243,199049,187898,168.99427710843372,63.62740963855422,0.42606232294617563,0.37650629788917783,0
Düzce,81,2492,40.8438,31.1565,18644,13129,6504,412344,409865,405131,7.5,9.4,9.4,42.0,137877,132376,125999,165.46709470304975,55.32784911717496,0.4200624571559144,0.33437372679122285,2
